# Each modeled lens, with all params
# xL,yL are lens positions relative to ALMA phase center
# thE is the Einstein radius in arcseconds
# eL is the lens ellipticity, with position angle phiL
# gamma is an external shear component, with position angle phi_g
#Source		lens	zL	zS	xL	dxL	yL	dyL	thE	dthE	eL	deL	phiL	dphiL	gamma	dgamma	phi_g	dphi_g
#------		---	--	--	arcsec	arcsec	arcsec	arcsec	arcsec	arcsec	--	---	degEofN	degEofN	---	---	degEofN	degEofN
SPT0319-47	A	nan	4.510	-5.361	0.014	-0.766	0.012	0.283	0.009	0.485	0.083	130.1	4.6	0.000	0.000	0	0
SPT0345-47	A	0.364	4.296	-2.424	0.011	1.258	0.009	0.306	0.002	0.450	0.019	126.3	1.3	0.000	0.000	0	0
SPT0346-52	A	nan	5.655	-0.806	0.012	3.036	0.009	0.979	0.007	0.515	0.027	70.9	1.0	0.119	0.005	122.1	2.8
SPT0348-62	A	0.378	5.654	10.900	0.000	3.100	0.000	1.002	0.000	0.000	0.000	0.0	0.0	0.000	0.000	0	0
SPT0403-58	A	nan	4.056	1.627	0.110	-3.226	0.111	0.533	0.047	0.588	0.124	49.2	4.9	0.000	0.000	0	0
SPT0404-59	A	nan	nan	-1.066	0.053	9.750	0.051	0.549	0.027	0.492	0.106	87.6	7.2	0.000	0.000	0	0
SPT0418-47	A	0.263	4.225	3.874	0.008	-2.713	0.009	1.247	0.003	0.112	0.011	23.7	1.1	0.000	0.000	0	0
SPT0441-46	A	0.882	4.480	-0.564	0.010	4.235	0.012	0.678	0.006	0.418	0.033	86.6	0.6	0.000	0.000	0	0
SPT0452-50	A	1.218	2.010	4.289	0.185	-3.725	0.305	0.820	0.140	0.268	0.139	173.2	13.5	0.000	0.000	0	0
SPT0459-58	A	nan	4.856	-5.366	0.031	2.641	0.021	0.468	0.015	0.340	0.093	30.1	6.4	0.000	0.000	0	0
SPT0459-59	A	0.938	4.799	-2.165	0.031	0.849	0.043	0.627	0.018	0.403	0.051	67.6	6.3	0.000	0.000	0	0
SPT0529-54	A	0.140	3.368	-2.348	0.008	0.025	0.008	1.360	0.008	0.173	0.014	91.0	2.7	0.000	0.000	0	0
SPT0532-50	A	1.150	3.399	-2.115	0.017	1.839	0.008	0.556	0.003	0.408	0.035	3.6	1.8	0.000	0.000	0	0
SPT0538-50	A	0.404	2.785	-0.313	0.024	-0.095	0.022	1.728	0.004	0.125	0.013	162.6	0.4	0.000	0.000	0	0
SPT2031-51	A	0.624	2.452	-4.921	0.015	1.581	0.016	0.534	0.005	0.454	0.018	15.8	1.5	0.000	0.000	0	0
SPT2048-55	A	nan	4.090	-5.423	0.012	2.473	0.013	0.361	0.006	0.068	0.034	85.1	10.1	0.000	0.000	0	0
SPT2103-60	A	0.764	4.436	-4.248	0.014	5.530	0.014	0.455	0.009	0.625	0.022	41.3	2.2	0.000	0.000	0	0
SPT2103-60	B	0.764	4.436	-4.833	0.039	7.383	0.061	0.791	0.022	0.115	0.017	35.4	9.3	0.000	0.000	0	0
SPT2103-60	C	0.764	4.436	-6.404	0.065	5.195	0.110	0.552	0.020	0.809	0.029	14.7	2.6	0.000	0.000	0	0
SPT2132-58	A	nan	4.768	-2.644	0.016	8.118	0.017	0.335	0.006	0.395	0.031	144.4	3.9	0.000	0.000	0	0
SPT2134-50	A	0.776	2.780	-4.765	0.012	2.177	0.013	0.518	0.002	0.143	0.013	36.9	0.7	0.000	0.000	0	0
SPT2146-55	A	nan	4.567	-0.496	0.019	-2.497	0.017	0.858	0.004	0.124	0.017	48.0	2.7	0.000	0.000	0	0
SPT2147-50	A	0.845	3.760	-6.185	0.021	4.207	0.019	1.195	0.006	0.249	0.018	13.9	1.9	0.000	0.000	0	0
SPT2311-54	A	0.440	4.280	-2.885	0.015	2.097	0.016	0.209	0.007	0.533	0.057	82.8	4.7	0.000	0.000	0	0
SPT2319-55	A	0.910	5.293	-4.742	0.013	-0.127	0.019	0.430	0.003	0.290	0.030	117.1	2.2	0.000	0.000	0	0
SPT2340-59	A	0.113	3.862	-2.164	0.073	-2.473	0.034	1.581	0.016	0.365	0.064	19.2	2.8	0.000	0.000	0	0
SPT2349-50	A	0.450	2.876	-4.378	0.010	2.346	0.016	0.244	0.005	0.556	0.061	3.9	4.7	0.000	0.000	0	0
SPT2354-58	A	0.428	1.867	-2.499	0.017	-1.911	0.013	0.321	0.003	0.143	0.017	123.7	5.2	0.000	0.000	0	0
SPT2357-51	A	nan	3.070	-0.305	0.027	-1.580	0.023	0.215	0.003	0.611	0.027	151.2	2.2	0.000	0.000	0	0
