# Source	LFIR	dLFIR	LCII	dLCII	SigFIR	dSigFIR	Sample
# ---	Lsun	Lsun	Lsun	Lsun	Lsun/kpc^2	Lsun/kpc^2	---
Arp303_N        	1.75e+10	2.63e+09	1.36e+08	2.96e+06	1.86e+09	5.57e+08	goals
Arp303_S        	1.93e+10	2.89e+09	1.58e+08	2.69e+06	3.04e+09	9.13e+08	goals
Arp84_N         	3.79e+10	5.68e+09	8.00e+07	1.93e+06	3.46e+10	1.04e+10	goals
Arp86_S         	1.59e+10	2.38e+09	1.47e+08	2.53e+06	2.82e+09	8.45e+08	goals
CGCG049-057     	1.09e+11	1.63e+10	4.64e+07	1.73e+06	nan	nan	goals
CGCG052-037     	1.27e+11	1.90e+10	3.99e+08	5.87e+06	2.60e+10	7.80e+09	goals
CGCG142-034_E   	4.45e+10	6.67e+09	1.81e+08	4.84e+06	1.65e+10	4.96e+09	goals
CGCG453-062     	9.86e+10	1.48e+10	2.30e+08	4.07e+06	6.14e+09	1.84e+09	goals
CGCG465-012_N   	1.46e+10	2.19e+09	1.18e+08	3.05e+06	9.10e+08	2.73e+08	goals
CGCG465-012_S   	5.44e+10	8.16e+09	2.00e+08	4.71e+06	1.02e+10	3.05e+09	goals
CGCG468-002_E   	6.67e+10	1.00e+10	1.03e+08	3.03e+06	3.73e+10	1.12e+10	goals
ESO069-IG006    	5.51e+11	8.27e+10	1.65e+09	2.66e+07	2.46e+10	7.38e+09	goals
ESO077-IG014_W  	6.18e+10	9.27e+09	1.93e+08	8.63e+06	6.07e+09	1.82e+09	goals
ESO138-G027     	1.04e+11	1.56e+10	2.16e+08	3.92e+06	3.68e+10	1.10e+10	goals
ESO221-IG010    	4.21e+10	6.32e+09	1.72e+08	3.70e+06	2.74e+10	8.21e+09	goals
ESO255-IG007_E  	3.46e+10	5.19e+09	2.15e+08	1.21e+07	1.79e+09	5.37e+08	goals
ESO255-IG007_S  	2.92e+10	4.38e+09	1.95e+08	5.60e+06	2.93e+09	8.80e+08	goals
ESO255-IG007_W  	2.74e+11	4.11e+10	8.31e+08	1.68e+07	3.16e+10	9.49e+09	goals
ESO264-G057     	4.38e+10	6.56e+09	1.33e+08	3.24e+06	1.74e+10	5.22e+09	goals
ESO267-G030_W   	5.74e+10	8.62e+09	1.85e+08	2.06e+06	2.05e+10	6.14e+09	goals
ESO286-G035     	5.38e+10	8.07e+09	2.81e+08	3.90e+06	1.05e+10	3.14e+09	goals
ESO320-G030     	8.28e+10	1.24e+10	9.82e+07	1.32e+06	nan	nan	goals
ESO343-IG013_S  	2.30e+10	3.45e+09	1.12e+08	2.75e+06	6.39e+09	1.92e+09	goals
ESO353-G020     	5.50e+10	8.24e+09	1.66e+08	1.92e+06	2.37e+10	7.10e+09	goals
ESO432-IG006_W  	3.24e+10	4.86e+09	1.18e+08	1.21e+06	1.29e+10	3.86e+09	goals
ESO440-IG058_N  	nan	nan	nan	nan	nan	nan	goals
ESO440-IG058_S  	1.08e+11	1.62e+10	4.49e+08	6.26e+06	1.47e+10	4.42e+09	goals
ESO453-G005_N   	nan	nan	nan	nan	nan	nan	goals
ESO467-G027     	1.66e+10	2.49e+09	1.47e+08	2.05e+06	1.66e+09	4.97e+08	goals
ESO557-G002_N   	7.01e+10	1.05e+10	1.24e+08	2.18e+06	2.28e+10	6.83e+09	goals
ESO557-G002_S   	1.45e+10	2.17e+09	1.20e+08	2.18e+06	nan	nan	goals
ESO593-IG008    	3.80e+11	5.70e+10	1.31e+09	2.15e+07	1.23e+10	3.68e+09	goals
IC0214          	6.90e+10	1.04e+10	4.24e+08	6.22e+06	2.59e+09	7.78e+08	goals
IC4280          	3.35e+10	5.03e+09	2.08e+08	3.60e+06	2.20e+09	6.61e+08	goals
IC4687          	9.73e+10	1.46e+10	5.62e+08	7.11e+06	nan	nan	goals
IC5179          	3.10e+10	4.65e+09	1.68e+08	1.81e+06	nan	nan	goals
IRAS03582+6012_W	nan	nan	nan	nan	nan	nan	goals
IRAS04271+3849  	5.20e+10	7.79e+09	1.82e+08	2.65e+06	2.19e+10	6.56e+09	goals
IRAS05083+2441_S	6.91e+10	1.04e+10	2.92e+08	3.99e+06	1.75e+10	5.26e+09	goals
IRAS05129+5128  	1.07e+11	1.61e+10	3.71e+08	5.83e+06	2.41e+10	7.23e+09	goals
IRAS05442+1732  	7.91e+10	1.19e+10	2.76e+08	5.66e+06	4.14e+10	1.24e+10	goals
IRAS13052-5711  	9.51e+10	1.43e+10	2.22e+08	3.50e+06	1.92e+10	5.77e+09	goals
IRAS17578-0400_N	1.78e+11	2.68e+10	1.70e+08	2.19e+06	7.77e+10	2.33e+10	goals
IRAS17578-0400_S	nan	nan	nan	nan	nan	nan	goals
IRAS17578-0400_W	nan	nan	nan	nan	nan	nan	goals
IRAS18090+0130_E	1.46e+11	2.19e+10	5.18e+08	3.92e+06	1.44e+10	4.31e+09	goals
IRAS18090+0130_W	4.84e+10	7.26e+09	8.84e+07	3.92e+06	8.78e+09	2.63e+09	goals
IRAS20351+2521  	1.52e+11	2.28e+10	4.97e+08	7.11e+06	1.62e+10	4.85e+09	goals
IRASF03217+4022 	1.21e+11	1.81e+10	1.82e+08	3.74e+06	3.14e+10	9.43e+09	goals
IRASF05187-1017 	1.20e+11	1.80e+10	9.88e+07	4.18e+06	2.70e+10	8.10e+09	goals
IRASF09111-1007_E	nan	nan	nan	nan	nan	nan	goals
IRASF11231+1456 	1.86e+11	2.79e+10	2.56e+08	6.91e+06	1.71e+10	5.13e+09	goals
IRASF16516-0948 	5.18e+10	7.77e+09	3.91e+08	7.49e+06	2.26e+09	6.79e+08	goals
IRASF17138-1017 	1.41e+11	2.12e+10	4.41e+08	6.16e+06	1.36e+10	4.07e+09	goals
IRASF18293-3413 	4.11e+11	6.16e+10	9.83e+08	1.08e+07	1.02e+11	3.07e+10	goals
MCG+02-20-003_S 	nan	nan	nan	nan	nan	nan	goals
MCG+04-48-002   	4.18e+10	6.27e+09	2.56e+08	3.21e+06	2.21e+10	6.64e+09	goals
MCG+05-06-036_S 	4.77e+10	7.16e+09	2.10e+08	5.24e+06	3.88e+09	1.16e+09	goals
MCG+07-23-019   	2.27e+11	3.40e+10	5.14e+08	8.56e+06	7.97e+09	2.39e+09	goals
MCG+08-11-002   	1.46e+11	2.20e+10	2.55e+08	4.15e+06	6.53e+10	1.96e+10	goals
MCG+12-02-001   	1.11e+11	1.67e+10	3.03e+08	5.01e+06	5.20e+10	1.56e+10	goals
MCG-02-33-098_E 	1.30e+10	1.95e+09	5.98e+07	1.35e+06	5.67e+09	1.70e+09	goals
MCG-03-04-014   	2.04e+11	3.06e+10	7.58e+08	7.76e+06	1.50e+10	4.50e+09	goals
MRK0331         	1.75e+11	2.62e+10	3.63e+08	5.49e+06	nan	nan	goals
NGC0023         	3.93e+10	5.89e+09	1.84e+08	2.91e+06	7.28e+09	2.19e+09	goals
NGC0232_W       	1.40e+11	2.10e+10	3.30e+08	4.24e+06	4.08e+10	1.22e+10	goals
NGC0695         	1.49e+11	2.23e+10	8.76e+08	1.45e+07	4.24e+09	1.27e+09	goals
NGC0828         	7.75e+10	1.16e+10	4.12e+08	4.54e+06	8.10e+09	2.43e+09	goals
NGC0838_E       	3.57e+10	5.36e+09	2.13e+08	2.98e+06	1.67e+10	5.01e+09	goals
NGC0992         	2.97e+10	4.46e+09	1.91e+08	2.41e+06	3.56e+09	1.07e+09	goals
NGC1614         	1.52e+11	2.29e+10	2.96e+08	1.23e+07	1.00e+11	3.01e+10	goals
NGC1797         	4.97e+10	7.46e+09	1.13e+08	2.26e+06	3.99e+10	1.20e+10	goals
NGC2146         	2.93e+10	4.39e+09	9.53e+07	1.78e+06	9.70e+10	2.91e+10	goals
NGC2342         	2.97e+10	4.45e+09	1.19e+08	2.47e+06	nan	nan	goals
NGC2388         	8.87e+10	1.33e+10	1.67e+08	3.13e+06	nan	nan	goals
NGC3110         	5.32e+10	7.99e+09	2.84e+08	2.76e+06	7.74e+09	2.32e+09	goals
NGC3221         	7.96e+09	1.19e+09	1.10e+08	2.29e+06	3.90e+08	1.17e+08	goals
NGC3256         	1.37e+11	2.05e+10	2.88e+08	6.18e+06	1.58e+11	4.74e+10	goals
NGC4194         	4.62e+10	6.93e+09	1.33e+08	2.31e+06	5.44e+10	1.63e+10	goals
NGC5104         	9.72e+10	1.46e+10	2.46e+08	4.63e+06	2.63e+10	7.88e+09	goals
NGC5331_N       	3.50e+10	5.25e+09	2.22e+08	8.99e+06	1.50e+09	4.50e+08	goals
NGC5331_S       	1.74e+11	2.62e+10	5.71e+08	8.99e+06	8.06e+09	2.42e+09	goals
NGC5653         	2.60e+10	3.90e+09	1.68e+08	2.94e+06	2.92e+09	8.75e+08	goals
NGC5936         	3.94e+10	5.90e+09	1.37e+08	2.95e+06	2.83e+10	8.50e+09	goals
NGC6052         	2.27e+10	3.40e+09	1.63e+08	2.63e+06	nan	nan	goals
NGC6090         	1.52e+11	2.29e+10	6.39e+08	1.17e+07	1.28e+10	3.83e+09	goals
NGC6286_N       	1.68e+10	2.52e+09	1.27e+08	2.52e+06	3.88e+09	1.16e+09	goals
NGC6286_S       	6.35e+10	9.53e+09	3.41e+08	5.72e+06	1.82e+09	5.47e+08	goals
NGC6621         	8.81e+10	1.32e+10	2.33e+08	3.33e+06	nan	nan	goals
NGC6670_W       	9.06e+10	1.36e+10	4.21e+08	5.75e+06	1.61e+10	4.82e+09	goals
NGC6701         	2.67e+10	4.01e+09	7.25e+07	2.31e+06	1.47e+10	4.42e+09	goals
NGC6907         	2.08e+10	3.13e+09	8.45e+07	1.17e+06	9.29e+09	2.79e+09	goals
NGC7552         	5.24e+10	7.86e+09	7.60e+07	1.84e+06	nan	nan	goals
NGC7592_E       	6.16e+10	9.24e+09	2.71e+08	4.20e+06	nan	nan	goals
NGC7679         	3.73e+10	5.59e+09	2.52e+08	3.23e+06	nan	nan	goals
NGC7771_N       	9.45e+10	1.42e+10	2.03e+08	1.40e+06	4.37e+10	1.31e+10	goals
RR032_N         	2.49e+10	3.73e+09	1.06e+08	1.91e+06	8.16e+09	2.45e+09	goals
UGC01845        	6.24e+10	9.36e+09	1.73e+08	2.10e+06	2.25e+10	6.74e+09	goals
UGC02238        	8.61e+10	1.29e+10	4.54e+08	5.06e+06	8.28e+09	2.48e+09	goals
UGC02369        	1.98e+11	2.97e+10	3.52e+08	7.49e+06	2.03e+10	6.09e+09	goals
UGC02982        	4.18e+10	6.27e+09	2.96e+08	3.32e+06	5.50e+09	1.65e+09	goals
UGC03351        	8.78e+10	1.32e+10	1.98e+08	2.29e+06	1.23e+10	3.68e+09	goals
UGC03410_E      	1.94e+10	2.91e+09	1.43e+08	2.55e+06	2.32e+09	6.97e+08	goals
UGC03410_W      	4.63e+09	6.95e+08	4.83e+07	1.00e+06	7.11e+08	2.13e+08	goals
UGC04881_W      	3.94e+10	5.91e+09	1.24e+08	1.09e+07	2.96e+09	8.87e+08	goals
UGC08387        	3.52e+11	5.27e+10	5.63e+08	7.54e+06	1.01e+11	3.02e+10	goals
UGC08739        	2.49e+10	3.73e+09	1.25e+08	2.27e+06	8.59e+09	2.58e+09	goals
UGC11041        	3.99e+10	5.98e+09	2.29e+08	2.25e+06	8.13e+09	2.44e+09	goals
UGC12150        	1.08e+11	1.62e+10	2.15e+08	3.81e+06	3.51e+10	1.05e+10	goals
VIIZw031        	4.74e+11	7.11e+10	1.32e+09	2.33e+07	1.67e+10	5.01e+09	goals
VV340a_N        	1.40e+11	2.09e+10	6.97e+08	3.53e+07	2.25e+09	6.75e+08	goals
VV340a_S        	2.24e+10	3.36e+09	1.98e+08	4.61e+06	7.52e+08	2.26e+08	goals
VV414_W         	5.03e+10	7.54e+09	2.18e+08	3.58e+06	7.88e+09	2.36e+09	goals
VV705           	3.71e+11	5.56e+10	6.27e+08	1.88e+07	1.16e+10	3.49e+09	goals
AzTEC1          	1.04e+13	1.00e+12	7.80e+09	1.10e+09	5.75e+11	2.93e+11	mischiz
HDF850.1        	3.80e+12	5.70e+11	2.40e+09	2.50e+08	7.16e+11	2.06e+11	mischiz
AzTEC3          	1.10e+13	2.20e+12	6.69e+09	2.30e+08	1.37e+12	3.23e+11	mischiz
BR1202-0725_N   	1.50e+13	2.20e+12	6.18e+09	6.20e+08	7.06e+11	1.50e+11	mischiz
BR1202-0725_S   	1.80e+13	2.70e+12	5.78e+09	5.80e+08	8.48e+11	1.82e+11	mischiz
ALESS73.1       	3.91e+12	1.10e+12	5.15e+09	2.50e+08	1.38e+12	4.85e+11	mischiz
J2310+1855      	1.70e+13	1.80e+12	8.74e+09	1.40e+09	1.28e+13	1.93e+12	mischiz
J1319+0950      	1.07e+13	1.30e+12	4.43e+09	9.00e+08	3.09e+12	4.77e+11	mischiz
J2054-0005      	8.00e+12	3.30e+12	3.37e+09	5.00e+08	4.29e+12	1.83e+12	mischiz
J0129-0035      	4.60e+12	6.00e+11	1.86e+09	3.00e+08	5.02e+12	1.97e+12	mischiz
